FragmentID	PGF.NH	COX.NH	CIGAR	NM	XG
WTCHG_18627:2:100:1360:6658	1	1	S	0	A0
WTCHG_18627:2:100:1360:7067	1	1	S	0	A0
WTCHG_18627:2:100:13610:16881	1	1	S	0	A0
WTCHG_18627:2:100:13614:11527	1	1	S	0	A0
WTCHG_18627:2:100:13620:16387	1	1	S	0	A0
WTCHG_18627:2:100:13637:12323	1	1	S	0	A0
WTCHG_18627:2:100:13642:15131	1	1	S	0	A0
WTCHG_18627:2:100:13666:13059	1	1	S	0	A0
WTCHG_18627:2:100:13667:15745	1	1	S	0	A0
WTCHG_18627:2:100:13673:14804	1	1	S	0	A0
WTCHG_18627:2:100:13685:6825	1	1	S	0	A0
WTCHG_18627:2:100:13686:1607	1	1	S	0	A0
WTCHG_18627:2:100:13691:12766	1	1	S	0	A0
WTCHG_18627:2:100:13692:20454	1	1	S	0	A0
WTCHG_18627:2:100:13712:10764	1	1	S	0	A0
WTCHG_18627:2:100:13726:14783	1	1	S	0	A0
WTCHG_18627:2:100:13734:9694	1	1	S	0	A0
WTCHG_18627:2:100:13738:8766	1	1	S	0	A0
WTCHG_18627:2:100:13745:17478	1	1	S	0	A0
WTCHG_18627:2:100:13761:11058	1	1	S	0	A0
WTCHG_18627:2:100:13793:12580	1	1	S	0	A0
WTCHG_18627:2:100:13797:3174	1	1	S	0	A0
WTCHG_18627:2:100:13800:10692	1	1	S	0	A0
WTCHG_18627:2:100:13809:8639	1	1	S	0	A0
WTCHG_18627:2:100:13816:4412	1	1	S	0	A0
WTCHG_18627:2:100:13820:12518	1	1	S	0	A0
WTCHG_18627:2:100:13823:9276	1	1	S	0	A0
